state_code,region,division
00,1,0
00,1,1
09,1,1
23,1,1
25,1,1
33,1,1
44,1,1
50,1,1
00,1,2
34,1,2
36,1,2
42,1,2
00,2,0
00,2,3
17,2,3
18,2,3
26,2,3
39,2,3
55,2,3
00,2,4
19,2,4
20,2,4
27,2,4
29,2,4
31,2,4
38,2,4
46,2,4
00,3,0
00,3,5
10,3,5
11,3,5
12,3,5
13,3,5
24,3,5
37,3,5
45,3,5
51,3,5
54,3,5
00,3,6
01,3,6
21,3,6
28,3,6
47,3,6
00,3,7
05,3,7
22,3,7
40,3,7
48,3,7
00,4,0
00,4,8
04,4,8
08,4,8
16,4,8
30,4,8
32,4,8
35,4,8
49,4,8
56,4,8
00,4,9
02,4,9
06,4,9
15,4,9
41,4,9
53,4,9
