fips,county_name,2013_code,2006_code,1990_code
1001,Autauga County,3,3,3
1003,Baldwin County,4,5,3
1005,Barbour County,6,5,5
1007,Bibb County,2,2,6
1009,Blount County,2,2,3
1011,Bullock County,6,6,6
1013,Butler County,6,6,6
1015,Calhoun County,4,4,4
1017,Chambers County,5,5,6
1019,Cherokee County,6,6,6
1021,Chilton County,2,2,6
1023,Choctaw County,6,6,6
1025,Clarke County,6,6,6
1027,Clay County,6,6,6
1029,Cleburne County,6,6,6
1031,Coffee County,5,5,5
1033,Colbert County,4,4,4
1035,Conecuh County,6,6,6
1037,Coosa County,5,5,6
1039,Covington County,6,6,6
1041,Crenshaw County,6,6,6
1043,Cullman County,5,5,5
1045,Dale County,5,5,4
1047,Dallas County,5,5,5
1049,DeKalb County,6,5,5
1051,Elmore County,3,3,3
1053,Escambia County,6,6,6
1055,Etowah County,4,4,4
1057,Fayette County,6,6,6
1059,Franklin County,6,6,6
1061,Geneva County,4,4,6
1063,Greene County,6,4,6
1065,Hale County,4,4,6
1067,Henry County,4,4,6
1069,Houston County,4,4,4
1071,Jackson County,5,5,5
1073,Jefferson County,1,1,3
1075,Lamar County,6,6,6
1077,Lauderdale County,4,4,4
1079,Lawrence County,4,4,4
1081,Lee County,4,4,5
1083,Limestone County,3,3,3
1085,Lowndes County,3,3,6
1087,Macon County,6,5,5
1089,Madison County,3,3,3
1091,Marengo County,6,6,6
1093,Marion County,6,6,6
1095,Marshall County,5,5,5
1097,Mobile County,3,3,3
1099,Monroe County,6,6,6
1101,Montgomery County,3,3,3
1103,Morgan County,4,4,4
1105,Perry County,6,6,6
1107,Pickens County,4,6,6
1109,Pike County,5,5,5
1111,Randolph County,6,6,6
1113,Russell County,3,3,3
1115,St. Clair County,2,2,3
1117,Shelby County,2,2,3
1119,Sumter County,6,6,6
1121,Talladega County,5,5,5
1123,Tallapoosa County,6,5,5
1125,Tuscaloosa County,4,4,4
1127,Walker County,2,2,5
1129,Washington County,6,6,6
1131,Wilcox County,6,6,6
1133,Winston County,6,6,6
2013,Aleutians East Borough,6,6,6
2016,Aleutians West Census Area,6,6,6
2020,Anchorage Municipality,3,3,4
2050,Bethel Census Area,6,6,6
2060,Bristol Bay Borough,6,6,6
2068,Denali Borough,6,6,6
2070,Dillingham Census Area,6,6,6
2090,Fairbanks North Star Borough,4,4,5
2100,Haines Borough,6,6,6
2105,Hoonah-Angoon Census Area,6,6,.
2110,Juneau City and Borough,5,5,5
2122,Kenai Peninsula Borough,6,6,6
2130,Ketchikan Gateway Borough,5,5,6
2150,Kodiak Island Borough,6,5,6
2158,Kusilvak Census Area,6,6,6
2164,Lake and Peninsula Borough,6,6,6
2170,Matanuska-Susitna Borough,3,3,6
2180,Nome Census Area,6,6,6
2185,North Slope Borough,6,6,6
2188,Northwest Arctic Borough,6,6,6
2195,Petersburg Census Area,6,6,.
2198,Prince of Wales-Hyder Census Area,6,6,.
2201,Prince of Wales-Outer Ket,6,6,6
2220,Sitka City and Borough,6,6,6
2230,Skagway Municipality,6,6,.
2232,Skagway-Hoonah-Angoon Census Area,6,6,6
2240,Southeast Fairbanks Census Area,6,6,6
2261,Valdez-Cordova Census Area,6,6,6
2270,Wade Hampton Census Area,6,6,6
2275,Wrangell City and Borough,6,6,.
2280,Wrangell-Petersburg Census Area,6,6,6
2282,Yakutat City and Borough,6,6,6
2290,Yukon-Koyukuk Census Area,6,6,6
4001,Apache County,6,6,6
4003,Cochise County,4,5,5
4005,Coconino County,4,4,5
4007,Gila County,5,5,6
4009,Graham County,5,5,6
4011,Greenlee County,6,5,6
4012,La Paz County,6,6,6
4013,Maricopa County,1,1,1
4015,Mohave County,4,5,3
4017,Navajo County,5,6,6
4019,Pima County,3,3,3
4021,Pinal County,2,2,2
4023,Santa Cruz County,5,5,5
4025,Yavapai County,4,4,5
4027,Yuma County,4,4,4
5001,Arkansas County,6,6,5
5003,Ashley County,6,6,6
5005,Baxter County,5,5,6
5007,Benton County,3,3,4
5009,Boone County,5,5,6
5011,Bradley County,6,6,6
5013,Calhoun County,5,5,6
5015,Carroll County,6,6,6
5017,Chicot County,6,6,6
5019,Clark County,5,5,5
5021,Clay County,6,6,6
5023,Cleburne County,6,6,6
5025,Cleveland County,4,4,6
5027,Columbia County,5,5,5
5029,Conway County,6,6,6
5031,Craighead County,4,4,5
5033,Crawford County,3,3,4
5035,Crittenden County,2,2,2
5037,Cross County,6,6,6
5039,Dallas County,6,6,6
5041,Desha County,6,6,6
5043,Drew County,6,6,6
5045,Faulkner County,3,3,3
5047,Franklin County,6,3,6
5049,Fulton County,6,6,6
5051,Garland County,4,4,5
5053,Grant County,3,3,6
5055,Greene County,5,5,5
5057,Hempstead County,6,5,6
5059,Hot Spring County,5,6,6
5061,Howard County,6,6,6
5063,Independence County,5,5,6
5065,Izard County,6,6,6
5067,Jackson County,6,6,6
5069,Jefferson County,4,4,4
5071,Johnson County,6,6,6
5073,Lafayette County,6,6,6
5075,Lawrence County,6,6,6
5077,Lee County,6,6,6
5079,Lincoln County,4,4,6
5081,Little River County,4,6,6
5083,Logan County,6,6,6
5085,Lonoke County,3,3,3
5087,Madison County,3,3,6
5089,Marion County,6,6,6
5091,Miller County,4,4,4
5093,Mississippi County,5,5,5
5095,Monroe County,6,6,6
5097,Montgomery County,6,6,6
5099,Nevada County,6,5,6
5101,Newton County,5,5,6
5103,Ouachita County,5,5,5
5105,Perry County,3,3,6
5107,Phillips County,5,5,6
5109,Pike County,6,6,6
5111,Poinsett County,4,4,6
5113,Polk County,6,6,6
5115,Pope County,5,5,5
5117,Prairie County,6,6,6
5119,Pulaski County,3,3,3
5121,Randolph County,6,6,6
5123,St. Francis County,5,5,5
